SAVED BY: JJ
TITLE: 
COMMENTS: 
DATE: 2/24/2020
TIME: 8:13 PM

STIMULUS, RESPONSE
1.978750E+8,  -6.228638E-1
1.984375E+8,  -7.025757E-1
1.990000E+8,  -6.966553E-1
1.995625E+8,  -7.052002E-1
2.001250E+8,  -7.123413E-1
2.006875E+8,  -6.570435E-1
2.012500E+8,  -7.013245E-1
2.018125E+8,  -6.937866E-1
2.023750E+8,  -6.475830E-1
2.029375E+8,  -6.860657E-1
2.035000E+8,  -6.862183E-1
2.040625E+8,  -6.641235E-1
2.046250E+8,  -6.822510E-1
2.051875E+8,  -6.144714E-1
2.057500E+8,  -6.705017E-1
2.063125E+8,  -6.093140E-1
2.068750E+8,  -6.102295E-1
2.074375E+8,  -6.421509E-1
2.080000E+8,  -6.230164E-1
2.085625E+8,  -6.064758E-1
2.091250E+8,  -6.400452E-1
2.096875E+8,  -6.368408E-1
2.102500E+8,  -6.842041E-1
2.108125E+8,  -6.302795E-1
2.113750E+8,  -6.880188E-1
2.119375E+8,  -6.599731E-1
2.125000E+8,  -6.420593E-1
2.130625E+8,  -6.349487E-1
2.136250E+8,  -6.534119E-1
2.141875E+8,  -6.888428E-1
2.147500E+8,  -6.870422E-1
2.153125E+8,  -6.368713E-1
2.158750E+8,  -6.201782E-1
2.164375E+8,  -6.634827E-1
2.170000E+8,  -6.821594E-1
2.175625E+8,  -6.294861E-1
2.181250E+8,  -7.631531E-1
2.186875E+8,  -6.734619E-1
2.192500E+8,  -6.236877E-1
2.198125E+8,  -7.868652E-1
2.203750E+8,  -7.251282E-1
2.209375E+8,  -7.478943E-1
2.215000E+8,  -6.601868E-1
2.220625E+8,  -8.079834E-1
2.226250E+8,  -6.772461E-1
2.231875E+8,  -7.507935E-1
2.237500E+8,  -7.512207E-1
2.243125E+8,  -7.584839E-1
2.248750E+8,  -7.980652E-1
2.254375E+8,  -7.720337E-1
2.260000E+8,  -7.391357E-1
2.265625E+8,  -8.170471E-1
2.271250E+8,  -8.189087E-1
2.276875E+8,  -8.458252E-1
2.282500E+8,  -7.818909E-1
2.288125E+8,  -8.772888E-1
2.293750E+8,  -8.984680E-1
2.299375E+8,  -9.072876E-1
2.305000E+8,  -8.747253E-1
2.310625E+8,  -8.786316E-1
2.316250E+8,  -9.458923E-1
2.321875E+8,  -9.286499E-1
2.327500E+8,  -9.485474E-1
2.333125E+8,  -9.893799E-1
2.338750E+8,  -9.270020E-1
2.344375E+8,  -9.731750E-1
2.350000E+8,  -9.570007E-1
2.355625E+8,  -1.000671E+0
2.361250E+8,  -9.248962E-1
2.366875E+8,  -1.008606E+0
2.372500E+8,  -1.032959E+0
2.378125E+8,  -9.842224E-1
2.383750E+8,  -9.822998E-1
2.389375E+8,  -1.007812E+0
2.395000E+8,  -9.844666E-1
2.400625E+8,  -1.028625E+0
2.406250E+8,  -9.723511E-1
2.411875E+8,  -1.011169E+0
2.417500E+8,  -1.025452E+0
2.423125E+8,  -1.019409E+0
2.428750E+8,  -1.008667E+0
2.434375E+8,  -1.061584E+0
2.440000E+8,  -1.023376E+0
2.445625E+8,  -1.059998E+0
2.451250E+8,  -9.723511E-1
2.456875E+8,  -1.048767E+0
2.462500E+8,  -9.926758E-1
2.468125E+8,  -1.068237E+0
2.473750E+8,  -1.015686E+0
2.479375E+8,  -1.032227E+0
2.485000E+8,  -9.517212E-1
2.490625E+8,  -1.041504E+0
2.496250E+8,  -9.730835E-1
2.501875E+8,  -1.040283E+0
2.507500E+8,  -1.008118E+0
2.513125E+8,  -1.041321E+0
2.518750E+8,  -1.030396E+0
2.524375E+8,  -9.884949E-1
