FFT Dimension (GHz),Re( Z ) (ohm),Im( Z ) (ohm)
0.017266774,0.0313223153,3.72151804
0.017390108,0.0316596292,3.7478435
0.017513442,0.0319933146,3.77416348
0.017636776,0.0323248357,3.80048227
0.01776011,0.0326527394,3.82679796
0.017883444,0.0329746827,3.85311317
0.018006778,0.033297088,3.87942338
0.018130112,0.0336137414,3.90573263
0.018253446,0.0339267701,3.93203783
0.01837678,0.034235891,3.95834255
0.018500114,0.0345419794,3.98464346
0.018623448,0.0348440632,4.01094246
0.018746782,0.0351409838,4.03723955
0.018870116,0.0354346856,4.06353664
0.01899345,0.0357249714,4.08982849
0.019116786,0.0360095277,4.11612034
0.01924012,0.036292702,4.14241076
0.019363454,0.0365689881,4.16869926
0.019486788,0.0368417725,4.19498491
0.019610122,0.037109714,4.22127104
0.019733456,0.0373732857,4.24755239
0.01985679,0.0376326032,4.27383614
0.019980124,0.0378878489,4.30011702
0.020103458,0.0381387472,4.32639551
0.020226792,0.0383838601,4.35267496
0.020350126,0.0386229828,4.37895298
0.02047346,0.0388601869,4.40523052
0.020596794,0.0390908495,4.43150616
0.020720128,0.0393170789,4.45778084
0.020843462,0.0395381339,4.48405695
0.020966796,0.0397541933,4.51032925
0.02109013,0.0399652757,4.53660393
0.021213464,0.0401710011,4.56287718
0.021336798,0.0403708965,4.58915043
0.021460132,0.040566314,4.61542368
0.021583468,0.0407572612,4.64169693
0.021706802,0.0409412347,4.66796923
0.021830136,0.0411206633,4.694242
0.02195347,0.0412944891,4.72051573
0.022076804,0.0414636843,4.74678946
0.022200138,0.0416261442,4.77306318
0.022323472,0.0417830274,4.79933834
0.022446806,0.0419350117,4.82561255
0.02257014,0.0420806892,4.85189056
0.022693474,0.0422223248,4.8781662
0.022816808,0.0423567183,4.90444374
0.022940142,0.0424857698,4.93072176
0.023063476,0.0426096804,4.95700359
0.02318681,0.0427271388,4.98328495
0.023310144,0.042838335,5.00956869
0.023433478,0.0429440439,5.03585339
0.023556812,0.0430450253,5.06213856
0.023680146,0.0431401655,5.08842707
0.02380348,0.0432302244,5.11471653
0.023926814,0.043311242,5.1410079
0.024050148,0.0433877669,5.16729975
0.024173484,0.043458499,5.19359732
0.024296818,0.0435241871,5.21989536
0.024420152,0.0435822196,5.24619532
0.024543486,0.0436369218,5.27249622
0.02466682,0.043683812,5.29880333
0.024790154,0.0437240191,5.32511139
0.024913488,0.0437586866,5.35142422
0.025036822,0.0437872559,5.37773561
0.025160156,0.0438112468,5.40405273
0.02528349,0.0438267514,5.43037367
0.025406824,0.0438390002,5.45669699
0.025530158,0.0438429713,5.48302317
0.025653492,0.0438424125,5.50935268
0.025776826,0.043834731,5.53568697
0.02590016,0.0438225418,5.56202364
0.026023494,0.043802876,5.58836412
0.026146828,0.0437779985,5.61471033
0.026270162,0.0437479019,5.64105892
0.026393496,0.0437087193,5.66741323
0.02651683,0.043670103,5.69376898
0.026640166,0.0436194651,5.7201314
0.0267635,0.0435640402,5.74649668
0.026886834,0.0435044058,5.77286863
